"row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000971.15",99.5794714728588,0.492740931201355,0.0351720063930292,14.0094632559549,1.36432187109922e-44,1.07136932209018e-42
"ENSG00000001084.10",421.806146545137,0.0596090536805476,0.0200179426585555,2.9777812184446,0.00290343153995347,0.00790385446861005
"ENSG00000001167.14",644.853305594087,-0.0388019164268271,0.00746797658314322,-5.19577371391483,2.03870126388969e-07,1.40979882105824e-06
"ENSG00000001461.16",635.919970566863,-0.0463844308201507,0.0104220488794209,-4.45060576445195,8.56284091776268e-06,4.27140934323314e-05
"ENSG00000001561.6",286.588087283885,0.317184898242304,0.0204661006918416,15.4980620401591,3.57513979902016e-54,3.44073604717729e-52
"ENSG00000001629.9",764.155613648872,0.028242307086417,0.00723158674104969,3.9054094347097,9.40659830650036e-05,0.000372884664983601
"ENSG00000001631.15",678.881321639042,0.0215503614584811,0.00944933917417749,2.28062101076575,0.0225708829093182,0.0471146936137105
"ENSG00000002549.12",605.383689873969,0.114681444971848,0.0253534370878123,4.52330958420533,6.08800907033262e-06,3.13083632383517e-05
"ENSG00000002586.18",419.362000826421,0.159682892470792,0.0135355127770401,11.7973286347642,4.02899376492137e-32,2.03035906263754e-30
"ENSG00000002919.14",314.660485060288,-0.0515263800134819,0.0136678291960462,-3.76990224814833,0.000163311499247559,0.000611940044018956
"ENSG00000003056.7",1097.99799765645,0.021794514326596,0.00766689354902752,2.84267861386447,0.00447361563162746,0.0115053807685014
"ENSG00000003147.17",34.9822371261698,-0.0504726587214331,0.0180533991203115,-2.79574269560392,0.00517806073120542,0.013067661151307
"ENSG00000003400.14",659.324528011941,-0.0725474538281543,0.00892610135068196,-8.1275633087688,4.38005878203703e-16,8.97036038561184e-15
"ENSG00000003402.19",10505.7934631185,-0.0555122590473243,0.0122396164751246,-4.53545739444907,5.74787810835084e-06,2.97865748125064e-05
"ENSG00000003756.16",3000.23076069017,-0.0346813042339479,0.00607121873369932,-5.71241224458666,1.11385858755454e-08,9.5112674587713e-08
"ENSG00000004399.12",210.976430656791,0.0969558580564512,0.0260325559259614,3.72440794258548,0.000195774133718177,0.000722372127873353
"ENSG00000004468.12",209.042670832905,-0.116936048422731,0.0188386086273624,-6.20725504392535,5.39180572202962e-10,5.58374702605009e-09
"ENSG00000004660.14",128.530658132483,-0.114889847029638,0.0227108022218464,-5.05881940705384,4.21860153714204e-07,2.75219672147901e-06
